,region,service,mode,percent
0,Whangārei,greenspace,cycling,100.0
1,Whangārei,greenspace,walking,86.0
2,Whangārei,greenspace,driving,100.0
3,Whangārei,supermarket,cycling,96.0
4,Whangārei,supermarket,walking,50.0
5,Whangārei,supermarket,driving,100.0
6,Whangārei,ece,cycling,99.0
7,Whangārei,ece,walking,90.0
8,Whangārei,ece,driving,100.0
9,Whangārei,doctor,cycling,96.0
10,Whangārei,doctor,walking,65.0
11,Whangārei,doctor,driving,100.0
12,Whangārei,pharmacy,cycling,97.0
13,Whangārei,pharmacy,walking,62.0
14,Whangārei,pharmacy,driving,100.0
15,Whangārei,primary_school,cycling,98.0
16,Whangārei,primary_school,walking,65.0
17,Whangārei,primary_school,driving,100.0
18,Whangārei,oral_health,cycling,97.0
19,Whangārei,oral_health,walking,62.0
20,Whangārei,oral_health,driving,100.0
21,Whangārei,all,cycling,95.0
22,Whangārei,all,walking,35.0
23,Whangārei,all,driving,100.0
24,Auckland,greenspace,cycling,100.0
25,Auckland,greenspace,walking,99.0
26,Auckland,greenspace,driving,100.0
27,Auckland,supermarket,cycling,97.0
28,Auckland,supermarket,walking,51.0
29,Auckland,supermarket,driving,100.0
30,Auckland,ece,cycling,100.0
31,Auckland,ece,walking,96.0
32,Auckland,ece,driving,100.0
33,Auckland,doctor,cycling,99.0
34,Auckland,doctor,walking,73.0
35,Auckland,doctor,driving,100.0
36,Auckland,pharmacy,cycling,99.0
37,Auckland,pharmacy,walking,72.0
38,Auckland,pharmacy,driving,100.0
39,Auckland,primary_school,cycling,100.0
40,Auckland,primary_school,walking,85.0
41,Auckland,primary_school,driving,100.0
42,Auckland,oral_health,cycling,100.0
43,Auckland,oral_health,walking,86.0
44,Auckland,oral_health,driving,100.0
45,Auckland,all,cycling,97.0
46,Auckland,all,walking,40.0
47,Auckland,all,driving,100.0
48,Cambridge,greenspace,cycling,100.0
49,Cambridge,greenspace,walking,97.0
50,Cambridge,greenspace,driving,100.0
51,Cambridge,supermarket,cycling,94.0
52,Cambridge,supermarket,walking,35.0
53,Cambridge,supermarket,driving,100.0
54,Cambridge,ece,cycling,100.0
55,Cambridge,ece,walking,95.0
56,Cambridge,ece,driving,100.0
57,Cambridge,doctor,cycling,96.0
58,Cambridge,doctor,walking,55.0
59,Cambridge,doctor,driving,100.0
60,Cambridge,pharmacy,cycling,94.0
61,Cambridge,pharmacy,walking,39.0
62,Cambridge,pharmacy,driving,100.0
63,Cambridge,primary_school,cycling,94.0
64,Cambridge,primary_school,walking,46.0
65,Cambridge,primary_school,driving,100.0
66,Cambridge,oral_health,cycling,96.0
67,Cambridge,oral_health,walking,50.0
68,Cambridge,oral_health,driving,100.0
69,Cambridge,all,cycling,93.0
70,Cambridge,all,walking,17.0
71,Cambridge,all,driving,100.0
72,Wellington,greenspace,cycling,100.0
73,Wellington,greenspace,walking,96.0
74,Wellington,greenspace,driving,100.0
75,Wellington,supermarket,cycling,100.0
76,Wellington,supermarket,walking,65.0
77,Wellington,supermarket,driving,100.0
78,Wellington,ece,cycling,100.0
79,Wellington,ece,walking,91.0
80,Wellington,ece,driving,100.0
81,Wellington,doctor,cycling,99.0
82,Wellington,doctor,walking,73.0
83,Wellington,doctor,driving,100.0
84,Wellington,pharmacy,cycling,99.0
85,Wellington,pharmacy,walking,70.0
86,Wellington,pharmacy,driving,100.0
87,Wellington,primary_school,cycling,100.0
88,Wellington,primary_school,walking,88.0
89,Wellington,primary_school,driving,100.0
90,Wellington,oral_health,cycling,100.0
91,Wellington,oral_health,walking,80.0
92,Wellington,oral_health,driving,100.0
93,Wellington,all,cycling,99.0
94,Wellington,all,walking,56.0
95,Wellington,all,driving,100.0
96,Hibiscus Coast,greenspace,cycling,100.0
97,Hibiscus Coast,greenspace,walking,100.0
98,Hibiscus Coast,greenspace,driving,99.0
99,Hibiscus Coast,supermarket,cycling,97.0
100,Hibiscus Coast,supermarket,walking,43.0
101,Hibiscus Coast,supermarket,driving,100.0
102,Hibiscus Coast,ece,cycling,100.0
103,Hibiscus Coast,ece,walking,83.0
104,Hibiscus Coast,ece,driving,100.0
105,Hibiscus Coast,doctor,cycling,87.0
106,Hibiscus Coast,doctor,walking,54.0
107,Hibiscus Coast,doctor,driving,100.0
108,Hibiscus Coast,pharmacy,cycling,87.0
109,Hibiscus Coast,pharmacy,walking,56.0
110,Hibiscus Coast,pharmacy,driving,100.0
111,Hibiscus Coast,primary_school,cycling,97.0
112,Hibiscus Coast,primary_school,walking,58.0
113,Hibiscus Coast,primary_school,driving,100.0
114,Hibiscus Coast,oral_health,cycling,94.0
115,Hibiscus Coast,oral_health,walking,54.0
116,Hibiscus Coast,oral_health,driving,100.0
117,Hibiscus Coast,all,cycling,80.0
118,Hibiscus Coast,all,walking,19.0
119,Hibiscus Coast,all,driving,100.0
120,Gisborne,greenspace,cycling,100.0
121,Gisborne,greenspace,walking,96.0
122,Gisborne,greenspace,driving,100.0
123,Gisborne,supermarket,cycling,96.0
124,Gisborne,supermarket,walking,60.0
125,Gisborne,supermarket,driving,100.0
126,Gisborne,ece,cycling,100.0
127,Gisborne,ece,walking,91.0
128,Gisborne,ece,driving,100.0
129,Gisborne,doctor,cycling,96.0
130,Gisborne,doctor,walking,47.0
131,Gisborne,doctor,driving,100.0
132,Gisborne,pharmacy,cycling,98.0
133,Gisborne,pharmacy,walking,74.0
134,Gisborne,pharmacy,driving,100.0
135,Gisborne,primary_school,cycling,100.0
136,Gisborne,primary_school,walking,78.0
137,Gisborne,primary_school,driving,100.0
138,Gisborne,oral_health,cycling,100.0
139,Gisborne,oral_health,walking,84.0
140,Gisborne,oral_health,driving,100.0
141,Gisborne,all,cycling,95.0
142,Gisborne,all,walking,27.0
143,Gisborne,all,driving,100.0
144,Oamaru,greenspace,cycling,99.0
145,Oamaru,greenspace,walking,96.0
146,Oamaru,greenspace,driving,100.0
147,Oamaru,supermarket,cycling,98.0
148,Oamaru,supermarket,walking,61.0
149,Oamaru,supermarket,driving,100.0
150,Oamaru,ece,cycling,97.0
151,Oamaru,ece,walking,72.0
152,Oamaru,ece,driving,100.0
153,Oamaru,doctor,cycling,85.0
154,Oamaru,doctor,walking,49.0
155,Oamaru,doctor,driving,100.0
156,Oamaru,pharmacy,cycling,75.0
157,Oamaru,pharmacy,walking,23.0
158,Oamaru,pharmacy,driving,100.0
159,Oamaru,primary_school,cycling,92.0
160,Oamaru,primary_school,walking,57.0
161,Oamaru,primary_school,driving,100.0
162,Oamaru,oral_health,cycling,72.0
163,Oamaru,oral_health,walking,15.0
164,Oamaru,oral_health,driving,100.0
165,Oamaru,all,cycling,65.0
166,Oamaru,all,walking,10.0
167,Oamaru,all,driving,100.0
168,Invercargill,greenspace,cycling,97.0
169,Invercargill,greenspace,walking,94.0
170,Invercargill,greenspace,driving,100.0
171,Invercargill,supermarket,cycling,100.0
172,Invercargill,supermarket,walking,53.0
173,Invercargill,supermarket,driving,100.0
174,Invercargill,ece,cycling,100.0
175,Invercargill,ece,walking,93.0
176,Invercargill,ece,driving,100.0
177,Invercargill,doctor,cycling,96.0
178,Invercargill,doctor,walking,62.0
179,Invercargill,doctor,driving,100.0
180,Invercargill,pharmacy,cycling,96.0
181,Invercargill,pharmacy,walking,67.0
182,Invercargill,pharmacy,driving,100.0
183,Invercargill,primary_school,cycling,100.0
184,Invercargill,primary_school,walking,81.0
185,Invercargill,primary_school,driving,100.0
186,Invercargill,oral_health,cycling,98.0
187,Invercargill,oral_health,walking,50.0
188,Invercargill,oral_health,driving,100.0
189,Invercargill,all,cycling,95.0
190,Invercargill,all,walking,21.0
191,Invercargill,all,driving,100.0
192,Hamilton,greenspace,cycling,99.0
193,Hamilton,greenspace,walking,98.0
194,Hamilton,greenspace,driving,100.0
195,Hamilton,supermarket,cycling,99.0
196,Hamilton,supermarket,walking,49.0
197,Hamilton,supermarket,driving,100.0
198,Hamilton,ece,cycling,100.0
199,Hamilton,ece,walking,96.0
200,Hamilton,ece,driving,100.0
201,Hamilton,doctor,cycling,99.0
202,Hamilton,doctor,walking,67.0
203,Hamilton,doctor,driving,100.0
204,Hamilton,pharmacy,cycling,99.0
205,Hamilton,pharmacy,walking,65.0
206,Hamilton,pharmacy,driving,100.0
207,Hamilton,primary_school,cycling,100.0
208,Hamilton,primary_school,walking,75.0
209,Hamilton,primary_school,driving,100.0
210,Hamilton,oral_health,cycling,100.0
211,Hamilton,oral_health,walking,76.0
212,Hamilton,oral_health,driving,100.0
213,Hamilton,all,cycling,98.0
214,Hamilton,all,walking,35.0
215,Hamilton,all,driving,100.0
216,Hastings,greenspace,cycling,100.0
217,Hastings,greenspace,walking,100.0
218,Hastings,greenspace,driving,100.0
219,Hastings,supermarket,cycling,100.0
220,Hastings,supermarket,walking,73.0
221,Hastings,supermarket,driving,100.0
222,Hastings,ece,cycling,100.0
223,Hastings,ece,walking,99.0
224,Hastings,ece,driving,100.0
225,Hastings,doctor,cycling,100.0
226,Hastings,doctor,walking,66.0
227,Hastings,doctor,driving,100.0
228,Hastings,pharmacy,cycling,100.0
229,Hastings,pharmacy,walking,69.0
230,Hastings,pharmacy,driving,100.0
231,Hastings,primary_school,cycling,100.0
232,Hastings,primary_school,walking,92.0
233,Hastings,primary_school,driving,100.0
234,Hastings,oral_health,cycling,100.0
235,Hastings,oral_health,walking,92.0
236,Hastings,oral_health,driving,100.0
237,Hastings,all,cycling,100.0
238,Hastings,all,walking,44.0
239,Hastings,all,driving,100.0
240,Nelson,greenspace,cycling,99.0
241,Nelson,greenspace,walking,94.0
242,Nelson,greenspace,driving,100.0
243,Nelson,supermarket,cycling,85.0
244,Nelson,supermarket,walking,38.0
245,Nelson,supermarket,driving,100.0
246,Nelson,ece,cycling,99.0
247,Nelson,ece,walking,80.0
248,Nelson,ece,driving,100.0
249,Nelson,doctor,cycling,94.0
250,Nelson,doctor,walking,50.0
251,Nelson,doctor,driving,100.0
252,Nelson,pharmacy,cycling,94.0
253,Nelson,pharmacy,walking,51.0
254,Nelson,pharmacy,driving,100.0
255,Nelson,primary_school,cycling,97.0
256,Nelson,primary_school,walking,62.0
257,Nelson,primary_school,driving,100.0
258,Nelson,oral_health,cycling,61.0
259,Nelson,oral_health,walking,23.0
260,Nelson,oral_health,driving,99.0
261,Nelson,all,cycling,63.0
262,Nelson,all,walking,21.0
263,Nelson,all,driving,99.0
264,Rotorua,greenspace,cycling,100.0
265,Rotorua,greenspace,walking,99.0
266,Rotorua,greenspace,driving,100.0
267,Rotorua,supermarket,cycling,84.0
268,Rotorua,supermarket,walking,44.0
269,Rotorua,supermarket,driving,100.0
270,Rotorua,ece,cycling,100.0
271,Rotorua,ece,walking,89.0
272,Rotorua,ece,driving,100.0
273,Rotorua,doctor,cycling,90.0
274,Rotorua,doctor,walking,35.0
275,Rotorua,doctor,driving,100.0
276,Rotorua,pharmacy,cycling,89.0
277,Rotorua,pharmacy,walking,33.0
278,Rotorua,pharmacy,driving,100.0
279,Rotorua,primary_school,cycling,96.0
280,Rotorua,primary_school,walking,73.0
281,Rotorua,primary_school,driving,100.0
282,Rotorua,oral_health,cycling,96.0
283,Rotorua,oral_health,walking,77.0
284,Rotorua,oral_health,driving,100.0
285,Rotorua,all,cycling,77.0
286,Rotorua,all,walking,26.0
287,Rotorua,all,driving,100.0
288,Paraparaumu,greenspace,cycling,100.0
289,Paraparaumu,greenspace,walking,98.0
290,Paraparaumu,greenspace,driving,100.0
291,Paraparaumu,supermarket,cycling,99.0
292,Paraparaumu,supermarket,walking,61.0
293,Paraparaumu,supermarket,driving,100.0
294,Paraparaumu,ece,cycling,100.0
295,Paraparaumu,ece,walking,87.0
296,Paraparaumu,ece,driving,100.0
297,Paraparaumu,doctor,cycling,100.0
298,Paraparaumu,doctor,walking,54.0
299,Paraparaumu,doctor,driving,100.0
300,Paraparaumu,pharmacy,cycling,100.0
301,Paraparaumu,pharmacy,walking,48.0
302,Paraparaumu,pharmacy,driving,100.0
303,Paraparaumu,primary_school,cycling,99.0
304,Paraparaumu,primary_school,walking,62.0
305,Paraparaumu,primary_school,driving,100.0
306,Paraparaumu,oral_health,cycling,99.0
307,Paraparaumu,oral_health,walking,55.0
308,Paraparaumu,oral_health,driving,100.0
309,Paraparaumu,all,cycling,99.0
310,Paraparaumu,all,walking,18.0
311,Paraparaumu,all,driving,100.0
312,Lower Hutt,greenspace,cycling,99.0
313,Lower Hutt,greenspace,walking,95.0
314,Lower Hutt,greenspace,driving,100.0
315,Lower Hutt,supermarket,cycling,96.0
316,Lower Hutt,supermarket,walking,53.0
317,Lower Hutt,supermarket,driving,100.0
318,Lower Hutt,ece,cycling,100.0
319,Lower Hutt,ece,walking,92.0
320,Lower Hutt,ece,driving,100.0
321,Lower Hutt,doctor,cycling,95.0
322,Lower Hutt,doctor,walking,57.0
323,Lower Hutt,doctor,driving,100.0
324,Lower Hutt,pharmacy,cycling,95.0
325,Lower Hutt,pharmacy,walking,61.0
326,Lower Hutt,pharmacy,driving,100.0
327,Lower Hutt,primary_school,cycling,99.0
328,Lower Hutt,primary_school,walking,81.0
329,Lower Hutt,primary_school,driving,100.0
330,Lower Hutt,oral_health,cycling,99.0
331,Lower Hutt,oral_health,walking,83.0
332,Lower Hutt,oral_health,driving,100.0
333,Lower Hutt,all,cycling,94.0
334,Lower Hutt,all,walking,43.0
335,Lower Hutt,all,driving,100.0
336,Masterton,greenspace,cycling,100.0
337,Masterton,greenspace,walking,92.0
338,Masterton,greenspace,driving,100.0
339,Masterton,supermarket,cycling,100.0
340,Masterton,supermarket,walking,50.0
341,Masterton,supermarket,driving,100.0
342,Masterton,ece,cycling,100.0
343,Masterton,ece,walking,92.0
344,Masterton,ece,driving,100.0
345,Masterton,doctor,cycling,98.0
346,Masterton,doctor,walking,44.0
347,Masterton,doctor,driving,100.0
348,Masterton,pharmacy,cycling,100.0
349,Masterton,pharmacy,walking,56.0
350,Masterton,pharmacy,driving,100.0
351,Masterton,primary_school,cycling,100.0
352,Masterton,primary_school,walking,52.0
353,Masterton,primary_school,driving,100.0
354,Masterton,oral_health,cycling,100.0
355,Masterton,oral_health,walking,40.0
356,Masterton,oral_health,driving,100.0
357,Masterton,all,cycling,98.0
358,Masterton,all,walking,20.0
359,Masterton,all,driving,100.0
360,Dunedin,greenspace,cycling,100.0
361,Dunedin,greenspace,walking,98.0
362,Dunedin,greenspace,driving,100.0
363,Dunedin,supermarket,cycling,95.0
364,Dunedin,supermarket,walking,52.0
365,Dunedin,supermarket,driving,98.0
366,Dunedin,ece,cycling,100.0
367,Dunedin,ece,walking,88.0
368,Dunedin,ece,driving,100.0
369,Dunedin,doctor,cycling,95.0
370,Dunedin,doctor,walking,64.0
371,Dunedin,doctor,driving,100.0
372,Dunedin,pharmacy,cycling,96.0
373,Dunedin,pharmacy,walking,65.0
374,Dunedin,pharmacy,driving,100.0
375,Dunedin,primary_school,cycling,100.0
376,Dunedin,primary_school,walking,83.0
377,Dunedin,primary_school,driving,100.0
378,Dunedin,oral_health,cycling,58.0
379,Dunedin,oral_health,walking,21.0
380,Dunedin,oral_health,driving,100.0
381,Dunedin,all,cycling,57.0
382,Dunedin,all,walking,12.0
383,Dunedin,all,driving,98.0
384,Christchurch,greenspace,cycling,100.0
385,Christchurch,greenspace,walking,99.0
386,Christchurch,greenspace,driving,100.0
387,Christchurch,supermarket,cycling,96.0
388,Christchurch,supermarket,walking,45.0
389,Christchurch,supermarket,driving,100.0
390,Christchurch,ece,cycling,100.0
391,Christchurch,ece,walking,92.0
392,Christchurch,ece,driving,100.0
393,Christchurch,doctor,cycling,98.0
394,Christchurch,doctor,walking,72.0
395,Christchurch,doctor,driving,100.0
396,Christchurch,pharmacy,cycling,98.0
397,Christchurch,pharmacy,walking,72.0
398,Christchurch,pharmacy,driving,100.0
399,Christchurch,primary_school,cycling,99.0
400,Christchurch,primary_school,walking,77.0
401,Christchurch,primary_school,driving,100.0
402,Christchurch,oral_health,cycling,100.0
403,Christchurch,oral_health,walking,81.0
404,Christchurch,oral_health,driving,100.0
405,Christchurch,all,cycling,95.0
406,Christchurch,all,walking,32.0
407,Christchurch,all,driving,100.0
408,Tauranga,greenspace,cycling,99.0
409,Tauranga,greenspace,walking,94.0
410,Tauranga,greenspace,driving,99.0
411,Tauranga,supermarket,cycling,95.0
412,Tauranga,supermarket,walking,52.0
413,Tauranga,supermarket,driving,100.0
414,Tauranga,ece,cycling,100.0
415,Tauranga,ece,walking,86.0
416,Tauranga,ece,driving,100.0
417,Tauranga,doctor,cycling,94.0
418,Tauranga,doctor,walking,50.0
419,Tauranga,doctor,driving,100.0
420,Tauranga,pharmacy,cycling,93.0
