,mode,dest_type,region,duration,suburb
0,walking,supermarket,Whangārei,13.69439071566731,Granfield Reserve
0,walking,ece,Whangārei,6.898452611218569,Granfield Reserve
0,walking,pharmacy,Whangārei,11.145067698259188,Granfield Reserve
0,walking,doctor,Whangārei,8.512572533849129,Granfield Reserve
0,walking,primary_school,Whangārei,9.416827852998066,Granfield Reserve
0,walking,greenspace,Whangārei,4.0899419729206965,Granfield Reserve
0,walking,all,Whangārei,14.544487427466152,Granfield Reserve
0,walking,supermarket,Whangārei,22.08206106870229,Maunu-Horahora
0,walking,ece,Whangārei,8.118320610687023,Maunu-Horahora
0,walking,pharmacy,Whangārei,7.949427480916031,Maunu-Horahora
0,walking,doctor,Whangārei,10.810114503816793,Maunu-Horahora
0,walking,primary_school,Whangārei,17.47232824427481,Maunu-Horahora
0,walking,greenspace,Whangārei,9.958969465648854,Maunu-Horahora
0,walking,all,Whangārei,25.950381679389313,Maunu-Horahora
0,walking,supermarket,Whangārei,17.45986394557823,Kamo West
0,walking,ece,Whangārei,9.84625850340136,Kamo West
0,walking,pharmacy,Whangārei,14.817687074829932,Kamo West
0,walking,doctor,Whangārei,13.69795918367347,Kamo West
0,walking,primary_school,Whangārei,15.360544217687075,Kamo West
0,walking,greenspace,Whangārei,5.765986394557823,Kamo West
0,walking,all,Whangārei,18.043537414965986,Kamo West
0,walking,supermarket,Whangārei,24.063101604278074,Whau Valley
0,walking,ece,Whangārei,12.997860962566845,Whau Valley
0,walking,pharmacy,Whangārei,20.662032085561496,Whau Valley
0,walking,doctor,Whangārei,20.527272727272727,Whau Valley
0,walking,primary_school,Whangārei,7.672727272727273,Whau Valley
0,walking,greenspace,Whangārei,6.46524064171123,Whau Valley
0,walking,all,Whangārei,24.063101604278074,Whau Valley
0,walking,supermarket,Whangārei,17.764835164835166,Kamo East
0,walking,ece,Whangārei,8.452747252747253,Kamo East
0,walking,pharmacy,Whangārei,18.123076923076923,Kamo East
0,walking,doctor,Whangārei,16.906593406593405,Kamo East
0,walking,primary_school,Whangārei,16.228571428571428,Kamo East
0,walking,greenspace,Whangārei,18.512087912087914,Kamo East
0,walking,all,Whangārei,20.318681318681318,Kamo East
0,walking,supermarket,Whangārei,11.24777183600713,Kamo Central
0,walking,ece,Whangārei,5.889483065953654,Kamo Central
0,walking,pharmacy,Whangārei,10.672014260249554,Kamo Central
0,walking,doctor,Whangārei,10.500891265597147,Kamo Central
0,walking,primary_school,Whangārei,13.062388591800357,Kamo Central
0,walking,greenspace,Whangārei,5.071301247771836,Kamo Central
0,walking,all,Whangārei,13.55258467023173,Kamo Central
0,walking,supermarket,Whangārei,11.65927240461402,Kensington (Whangarei District)
0,walking,ece,Whangārei,5.349600709849157,Kensington (Whangarei District)
0,walking,pharmacy,Whangārei,9.511978704525289,Kensington (Whangarei District)
0,walking,doctor,Whangārei,9.425022182786158,Kensington (Whangarei District)
0,walking,primary_school,Whangārei,9.565217391304348,Kensington (Whangarei District)
0,walking,greenspace,Whangārei,3.6690328305235136,Kensington (Whangarei District)
0,walking,all,Whangārei,13.90150842945874,Kensington (Whangarei District)
0,walking,supermarket,Whangārei,11.055387713997986,Woodhill-Vinetown
0,walking,ece,Whangārei,6.134944612286002,Woodhill-Vinetown
0,walking,pharmacy,Whangārei,8.507552870090635,Woodhill-Vinetown
0,walking,doctor,Whangārei,7.112789526686807,Woodhill-Vinetown
0,walking,primary_school,Whangārei,14.239677744209466,Woodhill-Vinetown
0,walking,greenspace,Whangārei,5.258811681772407,Woodhill-Vinetown
0,walking,all,Whangārei,14.328298086606244,Woodhill-Vinetown
0,walking,supermarket,Whangārei,9.989463601532567,Tikipunga North
0,walking,ece,Whangārei,6.609195402298851,Tikipunga North
0,walking,pharmacy,Whangārei,10.227969348659004,Tikipunga North
0,walking,doctor,Whangārei,8.799808429118775,Tikipunga North
0,walking,primary_school,Whangārei,10.527777777777779,Tikipunga North
0,walking,greenspace,Whangārei,4.936781609195402,Tikipunga North
0,walking,all,Whangārei,12.732758620689655,Tikipunga North
0,walking,supermarket,Whangārei,25.106382978723403,Otangarei
0,walking,ece,Whangārei,3.9617021276595743,Otangarei
0,walking,pharmacy,Whangārei,19.398581560283688,Otangarei
0,walking,doctor,Whangārei,6.821276595744681,Otangarei
0,walking,primary_school,Whangārei,6.5375886524822695,Otangarei
0,walking,greenspace,Whangārei,3.15177304964539,Otangarei
0,walking,all,Whangārei,25.106382978723403,Otangarei
0,walking,supermarket,Whangārei,16.105454545454545,Mairtown
0,walking,ece,Whangārei,3.909090909090909,Mairtown
0,walking,pharmacy,Whangārei,9.004848484848484,Mairtown
0,walking,doctor,Whangārei,9.423030303030304,Mairtown
0,walking,primary_school,Whangārei,13.2,Mairtown
0,walking,greenspace,Whangārei,5.541818181818182,Mairtown
0,walking,all,Whangārei,16.73939393939394,Mairtown
0,walking,supermarket,Whangārei,4.638686131386861,Whangārei Central
0,walking,ece,Whangārei,2.923357664233577,Whangārei Central
0,walking,pharmacy,Whangārei,6.456204379562044,Whangārei Central
0,walking,doctor,Whangārei,7.583941605839416,Whangārei Central
0,walking,primary_school,Whangārei,9.069343065693431,Whangārei Central
0,walking,greenspace,Whangārei,2.2262773722627736,Whangārei Central
