,mode,dest_type,UR2020_V_1,duration_weighted
0,walking,oral_health,Whangārei,16.51073712563767
1,walking,oral_health,Auckland,10.83664381738286
2,walking,oral_health,Cambridge,17.15080003648508
3,walking,oral_health,Wellington,11.694578565637103
4,walking,oral_health,Hibiscus Coast,16.696520043169823
5,walking,oral_health,Gisborne,11.382204988210281
6,walking,oral_health,Hastings,9.640575119382204
7,walking,oral_health,Christchurch,11.80196477865248
8,walking,oral_health,Ashburton,11.817047209962254
9,walking,oral_health,Hamilton,12.429417439698396
10,walking,oral_health,Nelson,40.78149695374338
11,walking,oral_health,Feilding,14.684370086625133
12,walking,oral_health,Palmerston North,23.108508107388225
13,walking,oral_health,Paraparaumu,16.23218450972647
14,walking,oral_health,Masterton,17.821013308430164
15,walking,oral_health,Dunedin,41.55182965081737
16,walking,oral_health,Invercargill,19.945003033430755
17,walking,oral_health,Tauranga,18.552693359555626
18,walking,oral_health,Te Awamutu,13.978444801433927
19,walking,oral_health,Taupō,21.069576193085393
20,walking,oral_health,Lower Hutt,12.759042026993603
21,walking,oral_health,Pukekohe,13.43215441860256
22,walking,oral_health,Richmond,21.670126087886782
23,walking,oral_health,Tokoroa,15.108036175976272
24,walking,oral_health,Mosgiel,21.099938939532954
25,walking,oral_health,Rotorua,15.807105200034375
26,walking,oral_health,Whakatāne,17.265369583653513
27,walking,oral_health,Havelock North,17.834032252609678
28,walking,oral_health,Napier,25.015947181293452
29,walking,oral_health,Whanganui,12.849367614831614
30,walking,oral_health,Levin,11.982382611291532
31,walking,oral_health,New Plymouth,24.2246277323234
32,walking,oral_health,Waikanae,30.32486927006162
33,walking,oral_health,Upper Hutt,14.176439604192025
34,walking,oral_health,Porirua,12.094979356973285
35,walking,oral_health,Blenheim,37.049232810041595
36,walking,oral_health,Timaru,18.81219040227598
37,walking,oral_health,Rangiora,13.97571196089865
38,walking,oral_health,Kaiapoi,14.5117097636026
39,walking,oral_health,Rolleston,14.209283296658542
40,walking,oral_health,Oamaru,33.9760898972526
41,walking,oral_health,Queenstown,47.70147297029653
42,walking,supermarket,Whangārei,18.999517889907747
43,walking,supermarket,Auckland,18.26473449993404
44,walking,supermarket,Cambridge,22.169051841880407
45,walking,supermarket,Wellington,14.378833745303433
46,walking,supermarket,Hibiscus Coast,19.20591409067237
47,walking,supermarket,Gisborne,18.181193490498067
48,walking,supermarket,Hastings,12.96246201483789
49,walking,supermarket,Christchurch,20.18909824802275
50,walking,supermarket,Ashburton,13.236544819949716
51,walking,supermarket,Hamilton,17.167185916156228
52,walking,supermarket,Nelson,26.5052583270234
53,walking,supermarket,Feilding,17.281865891900885
54,walking,supermarket,Palmerston North,29.818508255357752
55,walking,supermarket,Paraparaumu,16.05782215087696
56,walking,supermarket,Masterton,17.420135971448932
57,walking,supermarket,Dunedin,32.12435653826687
58,walking,supermarket,Invercargill,16.272899458593486
59,walking,supermarket,Tauranga,20.55357222712515
60,walking,supermarket,Te Awamutu,15.655602423583602
61,walking,supermarket,Taupō,25.636451609422334
62,walking,supermarket,Lower Hutt,19.10911735359866
63,walking,supermarket,Pukekohe,18.137897397885432
64,walking,supermarket,Richmond,17.66495352177033
65,walking,supermarket,Tokoroa,23.93973267846805
66,walking,supermarket,Mosgiel,18.083310115156447
67,walking,supermarket,Rotorua,26.982334539616293
68,walking,supermarket,Whakatāne,22.548096968453052
69,walking,supermarket,Havelock North,18.527281827754493
70,walking,supermarket,Napier,25.508859657290028
71,walking,supermarket,Whanganui,18.595937699104216
72,walking,supermarket,Levin,20.417392313901086
73,walking,supermarket,New Plymouth,19.1752269607592
74,walking,supermarket,Waikanae,20.76259674094188
75,walking,supermarket,Upper Hutt,22.441153617393404
76,walking,supermarket,Porirua,16.681388790047013
77,walking,supermarket,Blenheim,18.683423733718854
78,walking,supermarket,Timaru,28.73334515757206
79,walking,supermarket,Rangiora,18.952648537846176
80,walking,supermarket,Kaiapoi,22.579667162729233
81,walking,supermarket,Rolleston,23.65472878457161
82,walking,supermarket,Oamaru,15.960354873075408
83,walking,supermarket,Queenstown,33.47595950283875
84,walking,ece,Whangārei,10.752801262573394
85,walking,ece,Auckland,7.463484533436589
86,walking,ece,Cambridge,9.496262988832605
87,walking,ece,Wellington,8.342995348844024
88,walking,ece,Hibiscus Coast,10.599038795382901
89,walking,ece,Gisborne,8.535380263663715
90,walking,ece,Hastings,6.1471272086049575
91,walking,ece,Christchurch,9.03146315464452
92,walking,ece,Ashburton,8.84923798981557
93,walking,ece,Hamilton,7.371659732912498
94,walking,ece,Nelson,11.605574641653954
95,walking,ece,Feilding,9.460969857346283
96,walking,ece,Palmerston North,17.579939277718513
97,walking,ece,Paraparaumu,10.325913401939694
98,walking,ece,Masterton,8.846732872067712
99,walking,ece,Dunedin,9.786912836661854
100,walking,ece,Invercargill,8.774536426228817
101,walking,ece,Tauranga,11.559789744687693
102,walking,ece,Te Awamutu,10.50612093507204
103,walking,ece,Taupō,15.58101634106033
104,walking,ece,Lower Hutt,12.314497858551228
105,walking,ece,Pukekohe,7.7870902124189785
106,walking,ece,Richmond,9.124854842236076
107,walking,ece,Tokoroa,12.85512672819021
108,walking,ece,Mosgiel,12.156536685114876
109,walking,ece,Rotorua,12.14251580383903
110,walking,ece,Whakatāne,10.126277838210783
111,walking,ece,Havelock North,13.732760692646506
112,walking,ece,Napier,12.124863642586767
113,walking,ece,Whanganui,9.346054943336107
114,walking,ece,Levin,10.59992808752117
115,walking,ece,New Plymouth,15.443258126825853
116,walking,ece,Waikanae,18.2732916934453
117,walking,ece,Upper Hutt,11.566666743259793
118,walking,ece,Porirua,9.392969960632117
119,walking,ece,Blenheim,10.00612942945418
120,walking,ece,Timaru,17.2025258848667
121,walking,ece,Rangiora,9.8820621058063
122,walking,ece,Kaiapoi,9.516873835929898
123,walking,ece,Rolleston,9.374004722429968
124,walking,ece,Oamaru,14.555243310545078
125,walking,ece,Queenstown,30.81475236038841
126,walking,pharmacy,Whangārei,16.69531428698685
127,walking,pharmacy,Auckland,13.799963860219906
128,walking,pharmacy,Cambridge,21.29372572658989
129,walking,pharmacy,Wellington,13.632350599013952
130,walking,pharmacy,Hibiscus Coast,22.309393300834763
131,walking,pharmacy,Gisborne,15.800518621488644
132,walking,pharmacy,Hastings,13.512605248191493
133,walking,pharmacy,Christchurch,14.834617072053337
134,walking,pharmacy,Ashburton,161.532337223551
135,walking,pharmacy,Hamilton,14.872848450003852
136,walking,pharmacy,Nelson,21.920438873356666
137,walking,pharmacy,Feilding,17.72754702603075
138,walking,pharmacy,Palmerston North,30.336027891963173
139,walking,pharmacy,Paraparaumu,17.58019686340587
140,walking,pharmacy,Masterton,16.98652265460726
141,walking,pharmacy,Dunedin,25.966378391506698
142,walking,pharmacy,Invercargill,18.142998057138957
143,walking,pharmacy,Tauranga,21.266399618459037
144,walking,pharmacy,Te Awamutu,16.348597104235168
145,walking,pharmacy,Taupō,28.97086889810964
146,walking,pharmacy,Lower Hutt,17.99529454657244
147,walking,pharmacy,Pukekohe,17.254736697574273
148,walking,pharmacy,Richmond,19.85668043582917
149,walking,pharmacy,Tokoroa,26.263590102989255
150,walking,pharmacy,Mosgiel,18.662178475832775
151,walking,pharmacy,Rotorua,27.922554289175952
152,walking,pharmacy,Whakatāne,20.27058115524688
153,walking,pharmacy,Havelock North,21.504871502953794
154,walking,pharmacy,Napier,26.936800334669737
155,walking,pharmacy,Whanganui,21.1788462503674
156,walking,pharmacy,Levin,17.668724535490078
157,walking,pharmacy,New Plymouth,17.14618808607969
158,walking,pharmacy,Waikanae,32.141392132100805
159,walking,pharmacy,Upper Hutt,27.810893301026045
160,walking,pharmacy,Porirua,18.277570811160903
161,walking,pharmacy,Blenheim,16.72944584332614
162,walking,pharmacy,Timaru,26.33010870634412
163,walking,pharmacy,Rangiora,18.686190750537538
164,walking,pharmacy,Kaiapoi,22.201086304573348
165,walking,pharmacy,Rolleston,23.470394584348576
166,walking,pharmacy,Oamaru,32.959552892612585
167,walking,pharmacy,Queenstown,29.52464078232348
168,walking,doctor,Whangārei,16.533040937034237
169,walking,doctor,Auckland,13.566490990421615
170,walking,doctor,Cambridge,17.400303720486328
171,walking,doctor,Wellington,12.792084986218347
172,walking,doctor,Hibiscus Coast,22.491328749753574
173,walking,doctor,Gisborne,21.308701020529917
174,walking,doctor,Hastings,14.439339818322797
175,walking,doctor,Christchurch,14.648044079956023
176,walking,doctor,Ashburton,16.203973298754075
177,walking,doctor,Hamilton,14.70775687116482
178,walking,doctor,Nelson,22.185013101064612
179,walking,doctor,Feilding,21.689948732153052
180,walking,doctor,Palmerston North,30.523484073371897
181,walking,doctor,Paraparaumu,16.519000026282544
182,walking,doctor,Masterton,19.36428074776412
183,walking,doctor,Dunedin,21.540286588056855
184,walking,doctor,Invercargill,18.382771601113955
185,walking,doctor,Tauranga,21.14392558692742
186,walking,doctor,Te Awamutu,16.92721052708076
187,walking,doctor,Taupō,33.091228592049234
188,walking,doctor,Lower Hutt,19.298889415253974
189,walking,doctor,Pukekohe,20.424028109260597
190,walking,doctor,Richmond,17.12295237012989
191,walking,doctor,Tokoroa,27.95901946023996
192,walking,doctor,Mosgiel,19.27442020088013
193,walking,doctor,Rotorua,26.89953764074593
194,walking,doctor,Whakatāne,21.850276887085002
195,walking,doctor,Havelock North,20.1829463969737
196,walking,doctor,Napier,16.479038774384335
197,walking,doctor,Whanganui,18.17831033990207
198,walking,doctor,Levin,15.506148971755193
199,walking,doctor,New Plymouth,28.224929317839344
200,walking,doctor,Waikanae,33.138978479578384
201,walking,doctor,Upper Hutt,27.98845407464727
202,walking,doctor,Porirua,18.044698288263703
203,walking,doctor,Blenheim,17.790049514688434
204,walking,doctor,Timaru,26.190074396822354
205,walking,doctor,Rangiora,16.333541372406632
206,walking,doctor,Kaiapoi,20.92837512992427
207,walking,doctor,Rolleston,21.851816909656755
208,walking,doctor,Oamaru,22.444128853552865
209,walking,doctor,Queenstown,33.14434628901676
210,walking,primary_school,Whangārei,15.873614523959358
211,walking,primary_school,Auckland,11.346093259548853
212,walking,primary_school,Cambridge,18.659342204391564
213,walking,primary_school,Wellington,10.212604142980323
214,walking,primary_school,Hibiscus Coast,16.078103559880002
215,walking,primary_school,Gisborne,11.927782713085783
216,walking,primary_school,Hastings,9.635147798618155
217,walking,primary_school,Christchurch,12.629628673529274
218,walking,primary_school,Ashburton,13.723366985689799
219,walking,primary_school,Hamilton,12.679549390413236
220,walking,primary_school,Nelson,16.86633575718051
221,walking,primary_school,Feilding,14.697626212302525
222,walking,primary_school,Palmerston North,15.190703014543194
223,walking,primary_school,Paraparaumu,15.20350663892563
224,walking,primary_school,Masterton,15.588836935862417
225,walking,primary_school,Dunedin,11.535550214513798
226,walking,primary_school,Invercargill,12.098126722243673
227,walking,primary_school,Tauranga,18.281975177724483
228,walking,primary_school,Te Awamutu,15.009053019793617
229,walking,primary_school,Taupō,18.05781205170319
230,walking,primary_school,Lower Hutt,13.266697412709878
231,walking,primary_school,Pukekohe,13.58987654624198
232,walking,primary_school,Richmond,15.77388803242868
233,walking,primary_school,Tokoroa,15.03780861261073
234,walking,primary_school,Mosgiel,17.295309435239897
235,walking,primary_school,Rotorua,16.52908069944927
236,walking,primary_school,Whakatāne,13.521973978558863
237,walking,primary_school,Havelock North,16.636962126769692
238,walking,primary_school,Napier,23.65113130594369
239,walking,primary_school,Whanganui,13.426264149484458
240,walking,primary_school,Levin,13.343334612179424
241,walking,primary_school,New Plymouth,18.808954651820454
242,walking,primary_school,Waikanae,30.324705906004066
243,walking,primary_school,Upper Hutt,14.6447269912823
244,walking,primary_school,Porirua,11.642832171173602
245,walking,primary_school,Blenheim,13.833426229300725
246,walking,primary_school,Timaru,20.12712926675765
247,walking,primary_school,Rangiora,13.126980587247163
248,walking,primary_school,Kaiapoi,17.756868570035078
249,walking,primary_school,Rolleston,14.677487228829504
250,walking,primary_school,Oamaru,16.750088884984656
251,walking,primary_school,Queenstown,30.788084883917396
252,walking,greenspace,Whangārei,10.916351969827963
253,walking,greenspace,Auckland,18.811383473667885
254,walking,greenspace,Cambridge,6.285304452816608
255,walking,greenspace,Wellington,5.912215004470373
256,walking,greenspace,Hibiscus Coast,6.0142904215517525
257,walking,greenspace,Gisborne,5.809269091181804
258,walking,greenspace,Hastings,4.720252924597995
259,walking,greenspace,Christchurch,4.480813878288008
260,walking,greenspace,Ashburton,6.501025968836553
261,walking,greenspace,Hamilton,5.393840170160292
262,walking,greenspace,Nelson,6.906512230840115
263,walking,greenspace,Feilding,9.179305275892165
264,walking,greenspace,Palmerston North,12.320109617153069
265,walking,greenspace,Paraparaumu,4.459802247477619
266,walking,greenspace,Masterton,8.473303852674983
267,walking,greenspace,Dunedin,5.610550706522115
268,walking,greenspace,Invercargill,8.556171232244568
269,walking,greenspace,Tauranga,10.435243926669845
270,walking,greenspace,Te Awamutu,5.226801330142131
271,walking,greenspace,Taupō,5.77071932389628
272,walking,greenspace,Lower Hutt,8.32011811616265
273,walking,greenspace,Pukekohe,6.171033920364274
274,walking,greenspace,Richmond,6.449148249598294
275,walking,greenspace,Tokoroa,8.13048811953927
276,walking,greenspace,Mosgiel,7.293957012355698
277,walking,greenspace,Rotorua,6.974138893586392
278,walking,greenspace,Whakatāne,9.00982473885752
279,walking,greenspace,Havelock North,8.02709379938463
280,walking,greenspace,Napier,18.55478537635261
281,walking,greenspace,Whanganui,8.302684058822253
282,walking,greenspace,Levin,6.140383857079809
283,walking,greenspace,New Plymouth,10.429731194573646
284,walking,greenspace,Waikanae,11.261712104181669
285,walking,greenspace,Upper Hutt,7.539568305944555
286,walking,greenspace,Porirua,5.423113477235746
287,walking,greenspace,Blenheim,5.911450008666541
288,walking,greenspace,Timaru,7.432452555211515
289,walking,greenspace,Rangiora,3.3731480309693316
290,walking,greenspace,Kaiapoi,4.9633322186240045
291,walking,greenspace,Rolleston,3.513482423490315
292,walking,greenspace,Oamaru,6.916269236883218
293,walking,greenspace,Queenstown,12.078721864231762
294,cycling,oral_health,Whangārei,6.162509286089693
295,cycling,oral_health,Auckland,4.433631572564091
296,cycling,oral_health,Cambridge,6.344240324417399
297,cycling,oral_health,Wellington,4.874344598726475
298,cycling,oral_health,Hibiscus Coast,8.427474036029588
299,cycling,oral_health,Gisborne,4.203017083609697
300,cycling,oral_health,Hastings,3.769435653732554
301,cycling,oral_health,Christchurch,4.9741346996241385
302,cycling,oral_health,Ashburton,4.284022747314726
303,cycling,oral_health,Hamilton,4.935256746676494
304,cycling,oral_health,Nelson,15.545964471685458
305,cycling,oral_health,Feilding,5.368697948114921
306,cycling,oral_health,Palmerston North,8.73568732455196
307,cycling,oral_health,Paraparaumu,6.341974757596571
308,cycling,oral_health,Masterton,6.366727234446283
309,cycling,oral_health,Dunedin,14.503368873606503
310,cycling,oral_health,Invercargill,7.3689068281778365
311,cycling,oral_health,Tauranga,7.194097419785006
312,cycling,oral_health,Te Awamutu,5.416128652407815
313,cycling,oral_health,Taupō,8.105464501788381
314,cycling,oral_health,Lower Hutt,4.98553324809499
315,cycling,oral_health,Pukekohe,5.392765082338483
316,cycling,oral_health,Richmond,8.193133050746944
317,cycling,oral_health,Tokoroa,6.218027752896453
318,cycling,oral_health,Mosgiel,8.03439866051954
319,cycling,oral_health,Rotorua,6.291512486605926
320,cycling,oral_health,Whakatāne,6.881671462607058
321,cycling,oral_health,Havelock North,6.7607956904648905
322,cycling,oral_health,Napier,9.899059286657893
323,cycling,oral_health,Whanganui,5.13909336528377
324,cycling,oral_health,Levin,4.316678616677742
325,cycling,oral_health,New Plymouth,8.923640759181444
326,cycling,oral_health,Waikanae,14.876033957955702
327,cycling,oral_health,Upper Hutt,6.133291266545427
328,cycling,oral_health,Porirua,5.280236404128434
329,cycling,oral_health,Blenheim,13.130627147765253
330,cycling,oral_health,Timaru,7.210774515897809
331,cycling,oral_health,Rangiora,5.276622310595991
332,cycling,oral_health,Kaiapoi,6.281092632101301
333,cycling,oral_health,Rolleston,5.897156721577235
334,cycling,oral_health,Oamaru,12.92844901710599
335,cycling,oral_health,Queenstown,23.982039241574796
336,cycling,supermarket,Whangārei,7.169685542835077
337,cycling,supermarket,Auckland,7.299020471773262
338,cycling,supermarket,Cambridge,8.478755329825495
339,cycling,supermarket,Wellington,6.004215583351772
340,cycling,supermarket,Hibiscus Coast,8.964600055391788
341,cycling,supermarket,Gisborne,6.649951404146491
342,cycling,supermarket,Hastings,5.008721788931908
343,cycling,supermarket,Christchurch,8.01594122748041
344,cycling,supermarket,Ashburton,4.74686922951337
345,cycling,supermarket,Hamilton,6.806724303408546
346,cycling,supermarket,Nelson,10.052739243842671
347,cycling,supermarket,Feilding,6.27769591520484
348,cycling,supermarket,Palmerston North,11.69037581348934
349,cycling,supermarket,Paraparaumu,6.372295020225362
350,cycling,supermarket,Masterton,6.43971809131491
351,cycling,supermarket,Dunedin,12.046017562417138
352,cycling,supermarket,Invercargill,6.036686482853534
353,cycling,supermarket,Tauranga,7.7930407404008495
354,cycling,supermarket,Te Awamutu,6.799698428030369
355,cycling,supermarket,Taupō,9.76917630578334
356,cycling,supermarket,Lower Hutt,7.5260880008562845
357,cycling,supermarket,Pukekohe,7.433833690906454
358,cycling,supermarket,Richmond,6.909354843443857
359,cycling,supermarket,Tokoroa,10.20895087195603
360,cycling,supermarket,Mosgiel,7.494344592408605
361,cycling,supermarket,Rotorua,10.38938307127022
362,cycling,supermarket,Whakatāne,8.649226473779104
363,cycling,supermarket,Havelock North,7.458103069757155
364,cycling,supermarket,Napier,10.14265267772201
365,cycling,supermarket,Whanganui,7.072829942735064
366,cycling,supermarket,Levin,7.645315295819132
367,cycling,supermarket,New Plymouth,7.250479791453817
368,cycling,supermarket,Waikanae,8.130235959114609
369,cycling,supermarket,Upper Hutt,9.308135132139096
370,cycling,supermarket,Porirua,7.478919753438916
371,cycling,supermarket,Blenheim,7.421583019534757
372,cycling,supermarket,Timaru,10.697302277325884
373,cycling,supermarket,Rangiora,7.538775374051208
374,cycling,supermarket,Kaiapoi,9.243417819836031
375,cycling,supermarket,Rolleston,8.998490444248228
376,cycling,supermarket,Oamaru,6.009066444814569
377,cycling,supermarket,Queenstown,14.922196399806595
378,cycling,ece,Whangārei,4.118847345637533
379,cycling,ece,Auckland,3.0764223190115527
380,cycling,ece,Cambridge,3.582696474989755
381,cycling,ece,Wellington,3.5632088364923313
382,cycling,ece,Hibiscus Coast,5.33983608749861
383,cycling,ece,Gisborne,3.1770671888881727
384,cycling,ece,Hastings,2.383028796859763
385,cycling,ece,Christchurch,3.81387303321143
386,cycling,ece,Ashburton,3.3531662907559383
387,cycling,ece,Hamilton,3.0398967943061197
388,cycling,ece,Nelson,5.211300447736838
389,cycling,ece,Feilding,3.7158804547784934
390,cycling,ece,Palmerston North,6.73530290114217
391,cycling,ece,Paraparaumu,4.040445392111002
