,Y,X,UR2020_V_1,zoom
0,-36.61115668049465,174.7333250506967,Hibiscus Coast,13
1,-36.902502968899064,174.78354552255473,Auckland,13
2,-37.77252061264938,175.26766283716552,Hamilton,13
3,-37.70982693451735,176.19445175349162,Tauranga,13
4,-38.66389049335239,178.02215883298302,Gisborne,13
5,-39.0643519223772,174.10254971634345,New Plymouth,13
6,-40.907747437230476,175.00068920852394,Paraparaumu,13
7,-41.11075942355481,174.85177976543594,Porirua,13
8,-41.12256955435809,175.06899645628758,Upper Hutt,13
9,-41.21328341025175,174.93530801535275,Lower Hutt,13
10,-41.25084545288635,174.80474836619302,Wellington,13
11,-41.297197748542416,173.26433078007625,Nelson,13
12,-43.52630401616881,172.6031256970985,Christchurch,13
13,-45.02298768947427,168.71870552904934,Queenstown,13
14,-45.08455453302125,170.97055731160705,Oamaru,13
15,-35.719374175236865,174.3175118206407,Whangārei,13
16,-45.87596870687072,170.50497339075127,Dunedin,13
17,-37.200616620862895,174.9104380152776,Pukekohe,13
18,-38.13660557491574,176.25979911458018,Rotorua,13
19,-37.89034043128602,175.4622075259313,Cambridge,13
20,-38.00992824292448,175.3277023472718,Te Awamutu,13
21,-38.223681348558145,175.86788768232242,Tokoroa,13
22,-38.69464726694971,176.0791179087993,Taupō,13
23,-37.95039920750613,176.97051294870482,Whakatāne,13
24,-39.6316422459305,176.83189893525318,Hastings,13
25,-39.68502618571949,176.885428398754,Havelock North,13
26,-39.497996293390884,176.86924377377437,Napier,13
27,-39.92860045189226,175.0329836156232,Whanganui,13
28,-40.22088926041962,175.5642715852548,Feilding,13
29,-40.362227434389034,175.6182456750431,Palmerston North,13
30,-40.63041291132532,175.29042118446043,Levin,13
31,-40.953687073211356,175.65080055854327,Masterton,13
32,-45.87328456136838,170.3675569122705,Mosgiel,13
33,-40.85533406588669,175.06052476037488,Waikanae,13
34,-41.34099263303912,173.18228610892504,Richmond,13
35,-41.52050491098599,173.94819784743152,Blenheim,13
36,-43.305765639552874,172.59298436397538,Rangiora,13
37,-43.383652363898655,172.65688167608727,Kaiapoi,13
38,-43.60426169470276,172.3889064314967,Rolleston,13
39,-43.89196869989699,171.77083578652724,Ashburton,13
40,-44.37859214924207,171.230504378058,Timaru,13
41,-46.419148690955936,168.33527402605395,Invercargill,13
